URL_ID,URL,Number of Sentences,Number of positive words,Number of Negative words,Number of words before cleaning,Number of words after cleaning,Average_word_length,Average sentence length,Subjectivity score,Syllable Count,Personal Pronoun,
0,1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,28,4,4,686,411,24.5,14.67857143,0.01946572,1368,11
1,2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,29,5,5,615,374,21.20689655,12.89655172,0.026738968,1266,15
2,3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,77,28,16,1710,1022,22.20779221,13.27272727,0.043053838,3652,35
3,4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,15,5,1,427,249,28.46666667,16.6,0.024097386,878,6
4,5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,32,13,10,698,404,21.8125,12.625,0.056931693,1406,28
5,6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,53,15,10,1097,683,20.69811321,12.88679245,0.036604221,2350,18
6,7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,61,15,18,1307,868,21.42622951,14.2295082,0.038019433,2802,16
7,8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,67,27,9,1279,799,19.08955224,11.92537313,0.04505732,2659,16
8,9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,72,32,9,1286,808,17.86111111,11.22222222,0.050743574,2683,22
9,10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,41,7,13,575,328,14.02439024,8,0.06097661,1155,11
10,11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,35,9,1,615,375,17.57142857,10.71428571,0.026667667,1333,11
11,12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,64,13,25,1249,673,19.515625,10.515625,0.056464596,2417,48
12,13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,26,4,2,405,252,15.57692308,9.692307692,0.023810524,833,2
13,14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,24,10,6,553,313,23.04166667,13.04166667,0.051119211,1140,8
14,15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,92,12,32,1367,768,14.85869565,8.347826087,0.057292667,2685,33
15,16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,35,12,3,912,505,26.05714286,14.42857143,0.02970397,1707,17
16,17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,77,22,13,1748,1121,22.7012987,14.55844156,0.031223123,3871,19
17,18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,70,17,22,1393,784,19.9,11.2,0.049745898,2630,28
18,19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,85,24,29,1663,992,19.56470588,11.67058824,0.053428419,3553,23
19,20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,83,25,12,1562,874,18.81927711,10.53012048,0.042335096,2991,47
20,21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,81,24,14,1678,975,20.71604938,12.03703704,0.038975359,3252,47
21,22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,55,23,15,1223,685,22.23636364,12.45454545,0.055475453,2348,41
22,23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,46,9,2,747,438,16.23913043,9.52173913,0.025115155,1397,16
23,24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,66,39,18,1449,844,21.95454545,12.78787879,0.067536545,2872,46
24,25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,36,10,4,692,395,19.22222222,10.97222222,0.035444038,1290,26
25,26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,86,18,25,2127,1194,24.73255814,13.88372093,0.0360144,4206,44
26,27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,100,18,25,1817,1109,18.17,11.09,0.03877467,3649,51
27,28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,55,16,15,1142,665,20.76363636,12.09090909,0.046617541,2452,27
28,29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,73,13,14,1190,739,16.30136986,10.12328767,0.036536859,2348,15
29,30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,76,21,15,1618,836,21.28947368,11,0.043063201,3095,51
30,31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,81,19,9,1490,874,18.39506173,10.79012346,0.032037613,3054,27
31,32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,22,7,1,495,297,22.5,13.5,0.026937027,1072,5
32,33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,8,37,27,1816,966,227,120.75,0.066253588,3322,49
33,34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,45,7,0,719,412,15.97777778,9.155555556,0.016991291,1463,17
34,35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,41,2,3,684,404,16.68292683,9.853658537,0.012377238,1442,4
35,36,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,7,0,2,161,101,23,14.42857143,0.01980298,337,4
36,37,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,46,12,26,1011,586,21.97826087,12.73913043,0.064847416,2026,43
37,38,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,58,5,35,1357,778,23.39655172,13.4137931,0.051414882,2711,16
38,39,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,32,4,5,708,399,22.125,12.46875,0.022557391,1359,14
39,40,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,91,38,23,1888,1004,20.74725275,11.03296703,0.060757972,3536,43
40,41,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,44,16,0,631,365,14.34090909,8.295454545,0.043836616,1269,22
41,42,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,17,4,0,362,218,21.29411765,12.82352941,0.018349624,709,3
42,43,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,35,7,4,784,452,22.4,12.91428571,0.024337283,1492,27
43,45,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,21,2,3,464,283,22.0952381,13.47619048,0.017668845,955,4
44,46,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,28,12,5,373,191,13.32142857,6.821428571,0.089006236,758,11
45,47,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,10,2,0,152,90,15.2,9,0.022223222,316,5
46,48,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,55,9,7,799,430,14.52727273,7.818181818,0.037210302,1463,52
47,49,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,10,4,0,174,102,17.4,10.2,0.039216686,322,8
48,50,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,40,13,8,662,403,16.55,10.075,0.052110181,1464,8
49,51,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,8,0,5,145,77,18.125,9.625,0.064936065,259,5
50,52,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,20,5,11,376,191,18.8,9.55,0.083770634,670,24
51,53,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,74,16,29,1679,970,22.68918919,13.10810811,0.046392753,3532,33
52,54,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,71,18,15,1722,910,24.25352113,12.81690141,0.036264736,3163,42
53,55,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,69,12,13,1431,830,20.73913043,12.02898551,0.030121482,2682,26
54,56,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,67,9,2,857,403,12.79104478,6.014925373,0.027296285,1470,41
55,57,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,58,22,1,1398,681,24.10344828,11.74137931,0.033774862,2448,50
56,58,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,17,6,4,459,234,27,13.76470588,0.042736043,870,18
57,59,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,68,24,8,1552,926,22.82352941,13.61764706,0.034558235,3194,20
58,60,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,70,9,37,965,519,13.78571429,7.414285714,0.088632985,1862,54
59,61,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,73,27,11,1098,571,15.04109589,7.821917808,0.066550912,1898,67
60,62,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,47,6,30,996,585,21.19148936,12.44680851,0.061539462,1800,16
61,63,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,68,12,10,1045,610,15.36764706,8.970588235,0.036066574,2173,23
62,64,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,66,9,39,991,540,15.01515152,8.181818182,0.088889889,1913,55
63,65,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,34,9,7,662,365,19.47058824,10.73529412,0.043836616,1194,10
64,66,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,11,3,3,288,156,26.18181818,14.18181818,0.038462538,533,5
65,67,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,24,1,16,725,429,30.20833333,17.875,0.03962804,1453,6
66,68,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,58,4,26,1178,681,20.31034483,11.74137931,0.044053863,2318,20
67,69,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,248,3,78,3232,2146,13.03225806,8.653225806,0.037745641,6057,4
68,70,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,83,7,25,1706,920,20.55421687,11.08433735,0.034783609,3317,27
69,71,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,62,11,34,1452,901,23.41935484,14.53225806,0.049945506,3124,7
70,72,https://insights.blackcoffer.com/human-rights-outlook/,7,1,0,136,73,19.42857143,10.42857143,0.01369963,254,7
71,73,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,37,9,0,822,485,22.21621622,13.10810811,0.018557701,1571,21
72,74,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,118,19,23,1798,923,15.23728814,7.822033898,0.045504792,3377,38
73,75,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,86,15,14,1630,953,18.95348837,11.08139535,0.03043122,3134,32
74,76,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,47,4,15,1036,609,22.04255319,12.95744681,0.031199686,2007,19
75,77,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,74,2,38,1748,1082,23.62162162,14.62162162,0.036969577,3320,11
76,78,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,49,3,23,934,538,19.06122449,10.97959184,0.048328138,1818,15
77,79,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,72,7,28,1195,628,16.59722222,8.722222222,0.055733484,2269,48
78,80,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,37,16,22,1083,600,29.27027027,16.21621622,0.063334333,2079,22
79,81,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,62,6,26,1087,704,17.53225806,11.35483871,0.045455545,2311,7
80,82,https://insights.blackcoffer.com/travel-and-tourism-outlook/,9,2,1,178,97,19.77777778,10.77777778,0.030928835,318,7
81,83,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,58,15,24,1087,611,18.74137931,10.53448276,0.063830787,2028,37
82,84,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,34,5,17,596,371,17.52941176,10.91176471,0.059300191,1166,10
83,85,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,52,8,39,1108,647,21.30769231,12.44230769,0.072643968,2216,4
84,86,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,39,6,22,1058,528,27.12820513,13.53846154,0.053031303,1932,26
85,87,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,5,0,0,134,91,26.8,18.2,1.00E-06,264,1
86,88,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,30,7,2,517,303,17.23333333,10.1,0.02970397,963,9
87,89,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,33,1,32,904,504,27.39393939,15.27272727,0.06547719,1813,7
88,90,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,31,5,8,700,346,22.58064516,11.16129032,0.037573254,1156,48
89,91,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,50,2,26,991,594,19.82,11.88,0.047139047,2014,1
90,92,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,52,8,25,1005,557,19.32692308,10.71153846,0.059246961,2073,12
91,93,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,51,13,23,998,598,19.56862745,11.7254902,0.060201669,2041,7
92,94,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,35,5,12,783,451,22.37142857,12.88571429,0.037695013,1497,13
93,95,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,74,22,41,1540,846,20.81081081,11.43243243,0.074469085,2870,14
94,96,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,72,12,36,1476,918,20.5,12.75,0.052288582,2867,14
95,97,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,25,7,18,865,471,34.6,18.84,0.053079556,1386,58
96,98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,69,16,46,1697,1009,24.5942029,14.62318841,0.061447977,3375,21
97,99,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,77,7,14,1223,630,15.88311688,8.181818182,0.033334333,2164,47
98,100,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,20,3,10,322,200,16.1,10,0.065001,640,3
99,101,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,96,15,78,2123,1321,22.11458333,13.76041667,0.070402211,4112,15
100,102,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,64,15,30,1580,761,24.6875,11.890625,0.05913372,2722,59
101,103,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,98,10,44,1673,990,17.07142857,10.10204082,0.054546455,3201,26
102,104,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,78,14,39,1845,1114,23.65384615,14.28205128,0.047577302,3429,32
103,105,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,55,9,25,1003,599,18.23636364,10.89090909,0.056762269,1837,11
104,106,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,62,18,19,1818,1013,29.32258065,16.33870968,0.036526173,3590,27
105,107,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,32,5,22,829,469,25.90625,14.65625,0.057570296,1591,9
106,108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,61,4,51,1308,764,21.44262295,12.52459016,0.071990529,2592,15
107,109,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,15,1,14,282,155,18.8,10.33333333,0.096775194,545,14
108,110,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,25,0,4,460,285,18.4,11.4,0.014036088,921,2
